Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
11/28/2016,21:30:00,MCP,"4th district, Wheaton",DRIVER CHANGING LANES WHEN UNSAFE,GEORGIA AVE/CONNECTICUT AVE,39.08477,-77.075405,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,GMC,TERRAIN,SILVER,Warning,21-309(b),Transportation Article,No,BLACK,M,ELKRIDGE,MD,MD,A - Marked Patrol,"(39.08477, -77.075405)"
01/16/2015,08:20:00,MCP,"2nd district, Bethesda",DRIVINGTO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,S/B 270 @ SHADY GROVE,39.1068433333333,-77.18364,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,EXPLORER,SILVER,Citation,16-101(a),Transportation Article,No,BLACK,M,NEW CARROLLTON,MD,MD,A - Marked Patrol,"(39.1068433333333, -77.18364)"
11/29/2016,18:03:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,LELAND ST & GLENDALE RD,38.9875483333333,-77.0749083333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,FIAT,500,WHITE,Warning,21-707(a),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,"(38.9875483333333, -77.0749083333333)"
11/28/2016,00:59:00,MCP,"1st district, Rockville",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,E GUDE DR/SOUTHLAWN LN,39.1006333333333,-77.1411566666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,NISSAN,MURANO,GRAY,Warning,21-204(b),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1006333333333, -77.1411566666667)"
11/30/2016,11:06:00,MCP,"5th district, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,20910 FREDERICK RD (WALMART),39.19875,-77.2514,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,LEX,SUV,GRAY,Warning,13-401(h),Transportation Article,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.19875, -77.2514)"
03/19/2012,01:25:00,MCP,"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,INT. 270N/MONTROSE RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,CHRYSLER,PT CRUISER,BLACK,Warning,21-801.1,Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,
05/26/2013,20:07:00,MCP,"3rd district, Silver Spring",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,NEW HAMPSHIRE AVE AT NORTHWEST DR,39.0153813666667,-76.9783416833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYT,AVALON,WHITE,Citation,16-101(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0153813666667, -76.9783416833333)"
11/23/2016,13:28:00,MCP,"3rd district, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,SB RTE 29 @ BLACKBURN RD,39.0980833333333,-76.9367266666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,FORD,MUSTANG,SILVER,Warning,21-801.1,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.0980833333333, -76.9367266666667)"
11/30/2016,22:56:00,MCP,"1st district, Rockville","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",W. MONTGOMERY AVENUE / GREAT FALLS ROAD,39.0842233333333,-77.1583866666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,CIVIC,SILVER,Warning,22-201.1,Transportation Article,No,BLACK,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.0842233333333, -77.1583866666667)"
12/01/2016,02:17:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,GAITHER RD / SHADY GROVE RD,39.1159766666667,-77.184795,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,HYUNDAI,SONATA,WHITE,Warning,21-204(b),Transportation Article,No,BLACK,F,COLUMBIA,MD,MD,A - Marked Patrol,"(39.1159766666667, -77.184795)"
12/30/2014,10:40:00,MCP,"3rd district, Silver Spring",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,E INDIAN SPRING DR @ BILTMORE DR,39.0131,-77.005365,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,HONDA,SCCORD,"GREEN, DK",Citation,16-101(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0131, -77.005365)"
02/06/2012,19:47:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 26-206,NB OLD GEORGETOWN RD / GREENTREE RD,39.0009722666667,-77.1095473833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,HONDA,ODYSSEY (VAN),"BLUE, LIGHT",Citation,16-303(h),Transportation Article,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,"(39.0009722666667, -77.1095473833333)"
11/26/2016,03:27:00,MCP,"3rd district, Silver Spring",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,N/B I270 @ MIDDLEBROOK RD,39.053325,-77.0507433333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,CAMRY,BLACK,Warning,22-204(f),Transportation Article,No,BLACK,M,CLARKSBURG,MD,MD,A - Marked Patrol,"(39.053325, -77.0507433333333)"
02/22/2013,11:56:00,MCP,"3rd district, Silver Spring",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,UNIV BLVD E/E.FRANKLIN,39.0122223,-77.0023396333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998.0,DODG,INTREPID,WHITE,Citation,16-303(d),Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.0122223, -77.0023396333333)"
05/10/2013,00:00:00,MCP,"6th district, Gaithersburg / Montgomery Village",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,S/B I-270 @ MONTGOMERY VILLAGE AVE,39.1480784833333,-77.2167036666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,MERCEDES,SUV,BLACK,Citation,13-411(f),Transportation Article,No,BLACK,M,RESTON,VA,VA,A - Marked Patrol,"(39.1480784833333, -77.2167036666667)"
09/23/2015,12:50:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,FENTON ST AND BONIFANT ST,38.9939416666667,-77.0236416666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,FORD,ESCAPE XLT,RED,Citation,13-401(h),Transportation Article,No,WHITE,F,SILVER SPRING,MD,IL,A - Marked Patrol,"(38.9939416666667, -77.0236416666667)"
05/25/2014,15:33:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAIL OF VEH DRIVER IN ATTEND PROP. DAMAGE ACCIDENT TO EXHIBIT LIC TO PO,GOSHEN RD / MIDCOUNTY HWY,39.0454383333333,-76.99038,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,1994.0,CHRYSLER,LEBARON,GREEN,Citation,20-104(c),Transportation Article,Yes,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.0454383333333, -76.99038)"
11/26/2016,23:30:00,MCP,"4th district, Wheaton",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,AMHERST AVE @ REEDIE DR.,39.0389833333333,-77.0486966666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,MAZD,4S,SILVER,Warning,22-226(a),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0389833333333, -77.0486966666667)"
11/23/2016,23:16:00,MCP,"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,FREDERICK RD @ PLUMMER DR,39.1840266666667,-77.262855,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,INF,4D,"BLUE, LIGHT",Warning,21-801.1,Transportation Article,No,HISPANIC,M,BOYDS,MD,MD,A - Marked Patrol,"(39.1840266666667, -77.262855)"
12/01/2016,21:55:00,MCP,"4th district, Wheaton","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",FIELDS / 370,39.1165816666667,-77.2063183333333,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2011.0,SUBARU,FORESTER,SILVER,Warning,22-201.1,Transportation Article,No,WHITE,F,FAIRFAX,VA,VA,A - Marked Patrol,"(39.1165816666667, -77.2063183333333)"
01/28/2015,12:26:00,MCP,"5th district, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,118/DAWSON FARM,39.170095,-77.2787483333333,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2002.0,MERCURY,MOUNTAINEER,WHITE,Citation,13-401(h),Transportation Article,No,BLACK,M,DICKERSON,MD,MD,A - Marked Patrol,"(39.170095, -77.2787483333333)"
09/19/2014,17:58:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STOP SIGN LINE,GARDINER AVE @ DEXTER AVE,39.0221033333333,-77.0504683333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HOND,TK,GREEN,Citation,21-707(a),Transportation Article,No,WHITE,M,KENSINGTON,MD,MD,A - Marked Patrol,"(39.0221033333333, -77.0504683333333)"
02/14/2012,08:08:00,MCP,"6th district, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",ROCKVILLE PIKE/ALTA VISTA RD,39.0136342666667,-77.0989385166667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,MERCEDEZ,CLK350,WHITE,Citation,16-303(h),Transportation Article,No,BLACK,F,BURTONSVILLE,MD,MD,A - Marked Patrol,"(39.0136342666667, -77.0989385166667)"
03/19/2012,16:10:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,CLARENDON RD @ ELM ST. N/,38.9827307333333,-77.1007551666667,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,1996.0,HONDA,CIVIC,SILVER,Citation,21-1124.2(d2),Transportation Article,No,HISPANIC,M,ARLINGTON,VA,VA,A - Marked Patrol,"(38.9827307333333, -77.1007551666667)"
10/03/2012,17:46:00,MCP,"5th district, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,STRINGTOWN RD @ SNOWDEN FARM PKWY,39.2027347333333,-77.2457201666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYOTA,VAN,GREEN,Citation,13-401(h),Transportation Article,No,WHITE,F,DAMASCUS,MD,MD,A - Marked Patrol,"(39.2027347333333, -77.2457201666667)"
04/13/2012,18:41:00,MCP,"3rd district, Silver Spring",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,S/B NEW HAMPSHIRE AVE @ DILSTON RD,39.0104759833333,-76.9793175833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,DODGE,DURANGO,MAROON,Citation,13-401(b),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0104759833333, -76.9793175833333)"
10/04/2014,12:17:00,MCP,"1st district, Rockville",LEFT TURN FROM IMPROPER ROAD POSITION,DARNESTOWN RD @ SHADY GROVE RD,39.0919066666667,-77.1977266666667,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,1999.0,HONDA,CIVIC,GREEN,Citation,21-601(b),Transportation Article,No,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,"(39.0919066666667, -77.1977266666667)"
11/26/2016,20:54:00,MCP,"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,VEIRS MILL / CLAGETT,39.0778583333333,-77.126395,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994.0,TOYOTA,COROLLA,RED,Warning,13-409(b),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0778583333333, -77.126395)"
11/30/2016,13:13:00,MCP,"4th district, Wheaton",DRIVING VEH. WITH PASSENGER OVERLOAD INTERFERING WITH DRIVER CONTROL,GEORGIA AVE AND CONNECTICUT AVE,39.0637283333333,-77.0558783333333,No,No,No,No,No,Yes,No,No,No,No,MD,28 - Other,2004.0,FORD,EXPLORER,MAROON,Warning,21-1104(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0637283333333, -77.0558783333333)"
02/06/2012,19:47:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106,NB OLD GEORGETOWN RD / GREENTREE RD,39.0009722666667,-77.1095473833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,HONDA,ODYSSEY (VAN),"BLUE, LIGHT",Citation,16-303(h),Transportation Article,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,"(39.0009722666667, -77.1095473833333)"
03/31/2015,23:15:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,RIDGE RD / BRINK RD,39.2065866666667,-77.2427683333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,AUDI,A6,GRAY,Citation,21-801.1,Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.2065866666667, -77.2427683333333)"
11/29/2016,14:19:00,MCP,"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,NORBECK RD/ NORWOD RD,39.1186016666667,-77.0223083333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,CAROLLA,BEIGE,Warning,21-801.1,Transportation Article,No,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1186016666667, -77.0223083333333)"
03/20/2014,22:14:00,MCP,Headquarters and Special Operations,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE,PINEY BRANCH RD AT UNIVERSITY BLVD,39.0045116666667,-76.9962816666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,CADILLAC,DTS,"BLUE, LIGHT",Citation,16-303(g),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,B - Unmarked Patrol,"(39.0045116666667, -76.9962816666667)"
02/06/2012,19:47:00,MCP,"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 26-204,NB OLD GEORGETOWN RD / GREENTREE RD,39.0009722666667,-77.1095473833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,HONDA,ODYSSEY (VAN),"BLUE, LIGHT",Citation,16-303(h),Transportation Article,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,"(39.0009722666667, -77.1095473833333)"
05/03/2015,10:11:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE / ARCOLA AVE,39.0455533333333,-77.0524733333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,HOND,2S,BLUE,Citation,16-112(c),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0455533333333, -77.0524733333333)"
11/26/2016,01:36:00,MCP,"6th district, Gaithersburg / Montgomery Village","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,",SHADY GROVE ROAD/BRIARDALE ROAD,39.1334966666667,-77.15868,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,FORD,FOCUS HB,SILVER,Warning,21-405(e1),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1334966666667, -77.15868)"
08/09/2015,16:55:00,MCP,"5th district, Germantown",EXCEEDING MAXIMUM SPEED: 56 MPH IN A POSTED 40 MPH ZONE,MIDDLEBROOK RD @ OBSERVATION DR,39.1787216666667,-77.2410933333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,HONDA,ACCORD,BLACK,Citation,21-801.1,Transportation Article,No,BLACK,F,GERMANTOWN,MD,MD,Q - Marked Laser,"(39.1787216666667, -77.2410933333333)"
11/24/2016,00:12:00,MCP,"3rd district, Silver Spring",FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,NB NEW HAMPSHIRE AVE @ SCHINDLER DRIVE,39.0328633333333,-76.9854566666667,No,No,No,No,No,No,No,No,No,No,ME,02 - Automobile,2007.0,TOYOTA,4DR CAMRY,,Warning,22-203(b),Transportation Article,No,BLACK,M,BANGOR,ME,MD,A - Marked Patrol,"(39.0328633333333, -76.9854566666667)"
06/12/2014,15:54:00,MCP,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,7904 RIVER RD,38.993195,-77.162885,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2002.0,VOLKSWAGON,JETTA,BLUE,Citation,16-303(f),Transportation Article,No,HISPANIC,M,WOODBRIDGE,VA,VA,A - Marked Patrol,"(38.993195, -77.162885)"
02/22/2014,00:10:00,MCP,"3rd district, Silver Spring",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,COLESVILLE ROAD @ NOYSE COURT,39.0006816666667,-77.02507,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,HONDA,CIVIC,"BLUE, DARK",Citation,13-409(b),Transportation Article,No,BLACK,F,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0006816666667, -77.02507)"
11/29/2016,19:01:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,NORBECK RD & LAYHILL RD,39.121105,-77.0330883333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,TOYOTA,RAV4,SILVER,Warning,21-201(a1),Transportation Article,No,WHITE,M,ASHTON,MD,MD,A - Marked Patrol,"(39.121105, -77.0330883333333)"
03/18/2015,23:18:00,MCP,"5th district, Germantown",FAILURE TO STOP AT STOP SIGN,BRINK RD / GOSHEN RD,39.2078716666667,-77.18158,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,LEXUS,RX300,GRAY,Citation,21-707(a),Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.2078716666667, -77.18158)"
03/04/2013,14:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,DARNESTOWN ROAD/ORCHARD DRIVE,39.1162533833333,-77.2486083666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,FORD,MUSTANG,BLACK,Citation,13-409(b),Transportation Article,No,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,"(39.1162533833333, -77.2486083666667)"
11/15/2014,18:13:00,MCP,"3rd district, Silver Spring",FAILURE OF VEH. DRIVER TO STOP AFTER UNATTENDED VEH. DAMAGE ACCIDENT,10729 COLUMBIA PIKE,39.04557,-76.99135,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2000.0,VOLVO,S80,BLACK,Citation,20-105(a),Transportation Article,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,"(39.04557, -76.99135)"
03/28/2013,10:43:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,NEW HAMPSHIRE/NORTH HAMPTON,39.0106683333333,-76.9793033333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,PONT,2H,BLACK,Citation,16-303(d),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,R - Unmarked Laser,"(39.0106683333333, -76.9793033333333)"
11/11/2013,22:59:00,MCP,"2nd district, Bethesda",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,HIGHLAND HOUSE WEST @ 4450 S PARK AVE,38.9628216666667,-77.087975,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,AUDI,A4,BLACK,Citation,21-402(a),Transportation Article,Yes,WHITE,M,CHEVY CHASE,MD,VA,A - Marked Patrol,"(38.9628216666667, -77.087975)"
06/02/2014,08:01:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,BEACH DR/PINEHURST PKWY,38.9845683333333,-77.0593733333333,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2013.0,VOLKSWAGEN,TIGUAN,RED,Citation,21-201(a1),Transportation Article,No,WHITE,F,WASHINGTON,DC,DC,A - Marked Patrol,"(38.9845683333333, -77.0593733333333)"
11/28/2016,18:08:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,SEVEN LOCKS RD @ LILLY STONE DR,38.9888966666667,-77.16065,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,CADILLAC,SRX SUV,GOLD,Warning,13-401(h),Transportation Article,No,BLACK,M,SAN ANTONIO,TX,TX,A - Marked Patrol,"(38.9888966666667, -77.16065)"
05/08/2012,12:45:00,MCP,"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,10901 WESTLAKE DRIVE,39.03472825,-77.1467596,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,CHEV,2D,GRAY,Citation,21-801.1,Transportation Article,No,WHITE,F,DERWOOD,MD,MD,Q - Marked Laser,"(39.03472825, -77.1467596)"
10/14/2012,00:20:00,MCP,"3rd district, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,CALVERTON BOULEVARD AT GALWAY DRIVE,39.0563627333333,-76.94571295,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,NISS,350Z,BLACK,Citation,13-411(f),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0563627333333, -76.94571295)"
01/23/2015,02:12:00,MCP,"3rd district, Silver Spring",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,NB 270 / SHADY GORVE RD,39.1845433333333,-77.2628466666667,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2013.0,CHRYSLER,200,WHITE,Citation,21-902(a2),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.1845433333333, -77.2628466666667)"
04/14/2015,11:40:00,MCP,"3rd district, Silver Spring",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,BRIGGS CHANEY AND GENTRY RIDGE COURT,39.072505,-76.93921,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,TACOMA,GOLD,Citation,16-101(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.072505, -76.93921)"
07/27/2012,16:30:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GEORGIA AVE/COLESVILLE RD,39.0001113,-77.0257697,No,No,No,No,No,No,No,No,No,No,WA,05 - Light Duty Truck,2002.0,TOYOTA,HIGHLANDER,GRAY,Citation,21-201(a1),Transportation Article,No,OTHER,M,BELLINGHAM,WA,WA,A - Marked Patrol,"(39.0001113, -77.0257697)"
02/13/2015,19:40:00,MCP,"3rd district, Silver Spring",DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,PINEY BRANCH RD @ UNIVERSITY BLVD E,38.9979016666667,-76.9944083333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,KIA,SW,SILVER,Citation,21-201(a2),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9979016666667, -76.9944083333333)"
11/27/2016,01:03:00,MCP,"5th district, Germantown",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,N/B RT 27@OBSERVATION DR,39.2026216666667,-77.2515433333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,FORD,F150,WHITE,Warning,21-204(d),Transportation Article,No,OTHER,M,DAMASCUS,MD,MD,A - Marked Patrol,"(39.2026216666667, -77.2515433333333)"
11/23/2016,21:40:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,GEORGIA AVE / 13TH ST,38.9927866666667,-77.026495,No,Yes,No,No,No,Yes,No,No,No,No,DC,02 - Automobile,2013.0,LINCOLN,MKX,GRAY,Warning,21-202(h1),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(38.9927866666667, -77.026495)"
11/23/2016,22:40:00,MCP,"6th district, Gaithersburg / Montgomery Village","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",S FREDERICK RD @ NEIL DR,39.1228683333333,-77.19408,No,No,No,No,No,No,No,No,No,No,PA,02 - Automobile,2002.0,HOND,ODYSSET,SILVER,Warning,22-201.1,Transportation Article,No,BLACK,M,CHAMBERSBURG,PA,PA,A - Marked Patrol,"(39.1228683333333, -77.19408)"
12/01/2016,06:47:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,ST PAUL ST/OBERON ST,39.0281266666667,-77.0716233333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,NISSAN,SENTRA,SILVER,Warning,21-707(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0281266666667, -77.0716233333333)"
